Verdict_Id,Case_Id,Decision,Date,Remarks
V090,C090,Bail Granted,16-07-2025,Case dismissed due to lack of substantial proof.
V091,C091,Trial Ongoing,01-05-2025,Conviction based on strong forensic and documentary evidence.
V092,C092,Accused Convicted,23-04-2023,Investigation continues with additional leads being examined.
V093,C093,Accused Convicted,12-06-2023,Case dismissed due to lack of substantial proof.
V094,C094,Bail Granted,17-08-2024,Insufficient evidence to prove guilt beyond reasonable doubt.
V095,C095,Bail Granted,10-03-2023,Case dismissed due to lack of substantial proof.
V096,C096,Accused Convicted,02-12-2024,Further hearings scheduled; proceedings ongoing.
V097,C097,Case Dismissed,06-05-2023,Case dismissed due to lack of substantial proof.
V098,C098,Trial Ongoing,02-08-2023,Further hearings scheduled; proceedings ongoing.
V099,C099,Accused Sentenced to 5 Years Imprisonment,29-06-2024,Case dismissed due to lack of substantial proof.
V100,C100,Case Dismissed,12-01-2024,Conviction based on strong forensic and documentary evidence.
