Evidence_Id,Case_Id,Type,Description,Storage_Location
E142,C071,Digital,CCTV recording stored,Locker C
E143,C072,Documentary,Photographic evidence recorded,Evidence Room 2
E144,C072,Digital,Glass fragments collected,Evidence Room 1
E145,C073,Digital,Mobile data extracted and stored,Evidence Room 2
E146,C073,Physical,Blood sample secured,Locker C
E147,C074,Physical,CCTV recording stored,Locker D
E148,C074,Documentary,Mobile data extracted and stored,Forensic Lab
E149,C075,Biological,Fingerprint sample preserved,Locker C
E150,C075,Biological,Weapon sealed as evidence,Locker D
E151,C076,Biological,Fingerprint sample preserved,Locker B
E152,C076,Biological,Fingerprint sample preserved,Locker D
E153,C077,Digital,Photographic evidence recorded,Evidence Room 1
E154,C077,Physical,Mobile data extracted and stored,Locker B
E155,C078,Digital,Financial transaction logs archived,Evidence Room 2
E156,C078,Biological,Weapon sealed as evidence,Evidence Room 2
E157,C079,Biological,DNA sample preserved,Locker A
E158,C079,Digital,Financial transaction logs archived,Evidence Room 1
E159,C080,Digital,Glass fragments collected,Locker D
E160,C080,Physical,Mobile data extracted and stored,Locker D
E161,C081,Digital,Fingerprint sample preserved,Locker A
E162,C081,Biological,DNA sample preserved,Locker B
E163,C082,Digital,Blood sample secured,Forensic Lab
E164,C082,Digital,Financial transaction logs archived,Locker C
E165,C083,Documentary,Fingerprint sample preserved,Locker C
E166,C083,Documentary,Email records documented,Evidence Room 1
E167,C084,Digital,CCTV recording stored,Locker D
E168,C084,Physical,Mobile data extracted and stored,Locker C
E169,C085,Biological,Glass fragments collected,Locker D
E170,C085,Physical,Glass fragments collected,Evidence Room 2
E171,C086,Documentary,DNA sample preserved,Locker A
E172,C086,Documentary,Blood sample secured,Locker B
E173,C087,Physical,Glass fragments collected,Evidence Room 2
E174,C087,Physical,Blood sample secured,Evidence Room 2
E175,C088,Biological,DNA sample preserved,Locker A
E176,C088,Digital,Photographic evidence recorded,Forensic Lab
E177,C089,Digital,CCTV recording stored,Locker B
E178,C089,Biological,DNA sample preserved,Locker B
E179,C090,Physical,Fingerprint sample preserved,Evidence Room 2
E180,C090,Physical,Weapon sealed as evidence,Forensic Lab
E181,C091,Physical,Glass fragments collected,Forensic Lab
E182,C091,Biological,Financial transaction logs archived,Locker D
E183,C092,Biological,DNA sample preserved,Forensic Lab
E184,C092,Biological,Glass fragments collected,Evidence Room 1
E185,C093,Digital,DNA sample preserved,Forensic Lab
E186,C093,Biological,Blood sample secured,Locker A
E187,C094,Digital,Fingerprint sample preserved,Locker A
E188,C094,Digital,Weapon sealed as evidence,Locker A
E189,C095,Digital,Fingerprint sample preserved,Locker C
E190,C095,Documentary,Financial transaction logs archived,Locker A
E191,C096,Biological,DNA sample preserved,Locker D
E192,C096,Physical,Fingerprint sample preserved,Locker B
E193,C097,Biological,Glass fragments collected,Evidence Room 2
E194,C097,Digital,Glass fragments collected,Locker D
E195,C098,Physical,Glass fragments collected,Locker A
E196,C098,Documentary,DNA sample preserved,Evidence Room 2
E197,C099,Documentary,Glass fragments collected,Evidence Room 1
E198,C099,Biological,Weapon sealed as evidence,Locker B
E199,C100,Biological,Weapon sealed as evidence,Forensic Lab
E200,C100,Digital,Weapon sealed as evidence,Evidence Room 2
E201,C101,Documentary,Weapon sealed as evidence,Locker C
E202,C101,Biological,Blood sample secured,Evidence Room 2
E203,C102,Biological,Blood sample secured,Locker C
E204,C102,Documentary,Fingerprint sample preserved,Locker C
E205,C103,Physical,Weapon sealed as evidence,Locker A
E206,C103,Biological,Financial transaction logs archived,Locker A
E207,C104,Documentary,CCTV recording stored,Locker B
E208,C104,Biological,CCTV recording stored,Evidence Room 1
E209,C105,Biological,Glass fragments collected,Locker D
E210,C105,Biological,Financial transaction logs archived,Locker B
E211,C106,Biological,DNA sample preserved,Locker A
E212,C106,Biological,Photographic evidence recorded,Locker C
E213,C107,Documentary,Fingerprint sample preserved,Evidence Room 1
E214,C107,Biological,DNA sample preserved,Locker A
E215,C108,Biological,Mobile data extracted and stored,Forensic Lab
E216,C108,Biological,Financial transaction logs archived,Locker C
E217,C109,Physical,Photographic evidence recorded,Locker B
E218,C109,Physical,Mobile data extracted and stored,Locker B
E219,C110,Documentary,CCTV recording stored,Locker A
E220,C110,Biological,DNA sample preserved,Locker B
