Clue_Id,Case_Id,Description,Discovered_Date,Location
CL222,C090,Fingerprint lifted from door handle,26-07-2024,Shopping mall
CL223,C091,Broken glass fragments analyzed,02-03-2023,Warehouse
CL224,C091,Weapon recovered near location,16-07-2024,Parking area
CL225,C091,Suspicious email trail identified,12-09-2025,Street corner
CL226,C092,Blood sample collected at scene,04-11-2023,Warehouse
CL227,C092,Weapon recovered near location,01-07-2024,ATM booth
CL228,C092,Mobile phone data extracted,29-03-2023,Office cabin
CL229,C093,Blood sample collected at scene,22-11-2025,Street corner
CL230,C093,Fingerprint lifted from door handle,06-03-2025,Living room
CL231,C094,Suspicious email trail identified,19-10-2024,Street corner
CL232,C094,CCTV footage capturing suspect movement,04-11-2024,Office cabin
CL233,C095,Weapon recovered near location,17-04-2024,Shopping mall
CL234,C095,Weapon recovered near location,05-02-2025,ATM booth
CL235,C095,Mobile phone data extracted,16-03-2026,Street corner
CL236,C096,Broken glass fragments analyzed,26-07-2025,Back alley
CL237,C096,Blood sample collected at scene,08-09-2025,Warehouse
CL238,C097,Transaction records obtained,08-01-2025,Back alley
CL239,C097,Blood sample collected at scene,07-08-2025,Street corner
CL240,C097,CCTV footage capturing suspect movement,20-04-2024,Main entrance
CL241,C098,Transaction records obtained,22-09-2023,Main entrance
CL242,C098,Transaction records obtained,30-04-2025,Parking area
CL243,C098,Broken glass fragments analyzed,29-10-2023,Living room
CL244,C099,Mobile phone data extracted,16-01-2026,Street corner
CL245,C099,Witness sketch prepared,20-07-2025,Warehouse
CL246,C100,Transaction records obtained,28-04-2023,Main entrance
CL247,C100,Mobile phone data extracted,12-10-2023,Living room
